scenario,model,trial,elapsed_sec,rbac_patch,netpol_patch,podsec_patch,confidence
PODSEC_ONLY,gemini-2.0-flash,1,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,2,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,3,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,4,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,5,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,6,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,7,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,8,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,9,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,10,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,1,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,2,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,3,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,4,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,5,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,6,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,7,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,8,3,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,9,2,false,false,true,0.9
PODSEC_ONLY,gemini-2.0-flash,10,3,false,false,true,0.9
